City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
615,Sao Gabriel Da Cachoeira,BR,74.57,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
616,Awjilah,LY,72.48,clear sky,29.11,21.29,
618,San Lorenzo,PY,71.6,moderate rain,-25.33,-57.53,Canarias Hotel
619,Iralaya,HN,77.07,broken clouds,15.0,-83.23,Iglesia morava renovada
620,Paulo Afonso,BR,83.14,scattered clouds,-9.41,-38.21,Pousada Ilha Bela
621,Asyut,EG,69.8,clear sky,27.18,31.18,Florence Hotel Assiut
625,Savannah Bight,HN,77.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
626,Beloha,MG,86.97,broken clouds,-25.17,45.05,
630,Kasongo,CD,84.29,light rain,-4.45,26.67,Guest Hôtel
633,Labuhan,ID,78.87,overcast clouds,-6.88,112.21,bador sepret
634,Ypsonas,CY,64.4,scattered clouds,34.69,32.96,Club Aphrodite
637,Elat,IL,75.2,clear sky,29.56,34.95,Club Hotel Eilat
641,Mudgal,IN,78.93,clear sky,16.02,76.43,PRINCE TYERS
643,Maues,BR,75.42,overcast clouds,-3.38,-57.72,Hotel Miramar
649,Trinidad,BO,80.6,broken clouds,-14.83,-64.9,Hotel Piesta
653,Tefe,BR,77.0,overcast clouds,-3.35,-64.71,Aracati Hotel
654,Mungwi,ZM,77.94,broken clouds,-10.17,31.37,
655,Sibolga,ID,78.91,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
656,Peniche,PT,61.0,scattered clouds,39.36,-9.38,Hotel Star inn Peniche
658,Nicoya,CR,71.98,overcast clouds,10.15,-85.45,Guayacan Real
659,Nelson Bay,AU,70.0,overcast clouds,-32.72,152.15,Mantra Nelson Bay
664,Road Town,VG,78.01,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
665,Saint-Georges,GD,80.6,scattered clouds,12.06,-61.75,Siesta Hotel
668,Arrecife,ES,71.6,scattered clouds,28.96,-13.55,Hotel Lancelot
669,Thinadhoo,MV,82.99,overcast clouds,0.53,72.93,
676,Correntina,BR,76.77,broken clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
677,Vung Tau,VN,79.86,overcast clouds,10.35,107.08,Seaside Resort
678,Karpathos,GR,68.0,light rain,35.51,27.21,Alex
679,Touros,BR,80.6,broken clouds,-5.2,-35.46,INN NEW HORIZON
682,Kumluca,TR,61.02,overcast clouds,36.37,30.29,TurkuazKöy
683,Itaituba,BR,73.4,light rain,-4.28,-55.98,Hotel Campos
685,Port Hedland,AU,86.0,clear sky,-20.32,118.57,The Esplanade Hotel
686,Machico,PT,62.6,light rain,32.7,-16.77,Dom Pedro Madeira
688,Tautira,PF,77.0,light rain,-17.73,-149.15,Pension Oaoa
690,Vao,NC,73.6,clear sky,-22.67,167.48,Hotel Kou-Bugny
