City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Palmares Do Sul,BR,78.87,scattered clouds,-30.26,-50.51,Restaurante e Pensão Lopes
545,Senanga,ZM,89.28,broken clouds,-16.12,23.27,Christopher Nasilele House
546,Abonnema,NG,87.8,light rain,4.71,6.79,Corper's Lodge Obonoma
547,Macaubas,BR,74.25,overcast clouds,-13.02,-42.7,Pousada Refúgio
548,Limpapa,PH,79.59,moderate rain,7.12,121.91,Woodland Resort
551,Sinnamary,GF,80.38,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
554,Challakere,IN,75.94,broken clouds,14.32,76.65,SR Residency
555,Rivadavia,AR,68.0,clear sky,-33.19,-68.46,Posada Del Fin Del Mundo
558,Adjumani,UG,88.7,few clouds,3.38,31.79,Hotel Zawadi
560,Sayyan,YE,64.78,scattered clouds,15.17,44.32,متنزه و بحيرة سيان
561,Aswan,EG,78.08,clear sky,24.09,32.91,Nuba Nile
563,Pinhao,BR,71.73,light rain,-25.7,-51.66,Pinhão Park Hotel
564,Byron Bay,AU,71.6,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
566,Satana,IN,81.86,broken clouds,20.58,74.2,Sagar andsing pawar
567,Jutai,BR,76.64,overcast clouds,-5.18,-68.9,
571,Maragogi,BR,81.03,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
577,Ballitoville,ZA,77.0,clear sky,-29.54,31.21,Hotel Fairmont Zimbali Resort
581,Calabozo,VE,75.6,broken clouds,8.92,-67.43,Hotel Giardini
584,Kotido,UG,88.77,few clouds,2.98,34.13,Loware Joseph Mukasa's Residence
586,Kollam,IN,89.6,scattered clouds,8.88,76.6,The Raviz Ashtamudi
590,Port Augusta,AU,84.2,clear sky,-32.5,137.77,Majestic Oasis Apartments
595,San Martin,AR,68.0,clear sky,-33.08,-68.47,Finca Vivencias
596,Puerto Suarez,BO,87.8,scattered clouds,-18.95,-57.8,Hotel casa real
597,Healesville,AU,70.0,broken clouds,-37.65,145.52,Rivendell on Cornelius
601,Puerto Del Rosario,ES,73.4,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
603,Gua Musang,MY,75.18,overcast clouds,4.88,101.96,Mines Inn Hotel
604,Kapchorwa,UG,75.88,light rain,1.4,34.45,Amis Cheshari's Residence
606,Mogadishu,SO,86.0,few clouds,2.04,45.34,Hotel Juba
607,Alta Floresta,BR,75.15,light rain,-9.88,-56.09,Floresta Amazonica Hotel
610,Manali,IN,86.0,scattered clouds,13.17,80.27,Sarathy Lodge
612,Iquique,CL,64.4,clear sky,-20.22,-70.14,Backpacker`s Hostel Iquique
613,Santarem,BR,75.2,moderate rain,-2.44,-54.71,Hotel Imperador
